Customer Name,Email,Location,Model,Range(km),Vehicle Type,Launch Date,Description,Cost,Price (NPR),Units Sold,Sale Date,Payment Method,Sale Month number,Sale Month Name,Sale Year,Total Revenue,Profit
Melissa Thomas,victoria41@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2021-12-01,EMI,12,December,2021,11800000,7817500
Lawrence Nguyen,westvictor@norman.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-10-09,EMI,10,October,2023,0,-4585500
Cole Weaver,james68@smith.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-05-03,EMI,5,May,2024,6780000,2194500
Steven Bennett,benjamindiaz@flores.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-04-06,Full Cash,4,April,2023,13560000,8974500
Michael Tran,cmills@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-03-18,EMI,3,March,2023,13560000,8974500
Aaron Miller,ysparks@gmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2021-04-10,EMI,4,April,2021,35400000,31417500
Gabriella Livingston,yrodriguez@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-11,EMI,9,September,2023,8230000,5449375
Jeremy Le,monicastewart@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2022-11-03,Full Cheque,11,November,2022,13560000,8974500
Donald Nelson,michaelpark@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-21,Full Cash,9,September,2023,8230000,5449375
Rebecca Murphy,qjohnson@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-04-23,EMI,4,April,2021,17700000,13717500
Heidi Gonzalez,ibarnes@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-26,Full Cheque,9,September,2023,20575000,17794375
Bryan Taylor,lcrawford@perez.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,6,2024-12-27,EMI,12,December,2024,35340000,31360250
Deborah Burton,vsosa@hamilton.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,0,2024-01-24,EMI,1,January,2024,0,-13162500
William Dominguez,tami29@hernandez.biz,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,6,2023-09-13,EMI,9,September,2023,24690000,21909375
Abigail Edwards,robert54@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-14,Full Cash,9,September,2023,12345000,9564375
Justin Riley,jeffreypetersen@griffin.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,6,2023-09-25,EMI,9,September,2023,24690000,21909375
Jeremiah Daniels,victor65@perez.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-02-15,EMI,2,February,2023,20340000,15754500
Tiffany Kline,cliffordburnett@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-07-14,EMI,7,July,2024,40680000,36094500
Jared Tucker,andrewwright@thompson.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-09-21,EMI,9,September,2023,20340000,15754500
Ryan Gonzales,jackiehernandez@dawson-garcia.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-08-09,Full Cash,8,August,2023,0,-4585500
Michelle Martin,timothywilliams@payne.net,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-07-18,EMI,7,July,2021,17700000,13717500
Alyssa Roberts,annamanning@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-12-06,EMI,12,December,2023,12345000,9564375
Angela Hodge,alexander98@hall-kaiser.net,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-14,EMI,9,September,2023,20575000,17794375
Michele Johnson,kristen62@yahoo.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2021-07-07,EMI,7,July,2021,11800000,7817500
Carol Carter,jasonbaird@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-04-29,EMI,4,April,2024,0,-4585500
Samantha Pace,brianwilson@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-18,Full Cash,9,September,2023,20575000,17794375
Dustin Winters,wgriffin@burns-parker.info,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2021-12-28,EMI,12,December,2021,11800000,7817500
Anthony Lee,cflores@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-01-21,Full Cheque,1,January,2023,40680000,36094500
Tiffany Castro,evelynclarke@patel.net,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-28,EMI,1,January,2024,19500000,6337500
Stacy James,christopher20@williams.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-07-06,EMI,7,July,2024,40680000,36094500
Kirsten Hunter,jonesjennifer@larsen.net,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-20,EMI,9,September,2023,0,-2780625
Karen Cole,jacqueline67@gonzalez.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-01-09,EMI,1,January,2023,40680000,36094500
Amber Green,jcollins@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-03-05,Full Cash,3,March,2024,13560000,8974500
Christine Garcia,hsmith@yahoo.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2022-04-06,Full Cheque,4,April,2022,0,-3982500
Kayla Floyd,susan90@day-adkins.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-03-30,EMI,3,March,2023,40680000,36094500
Derek Vega,kaitlyn19@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-28,Full Cash,9,September,2023,20575000,17794375
Brian Allen,daniel80@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-09-21,Full Cash,9,September,2023,40680000,36094500
Austin Brown,xmclaughlin@wheeler.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-06-22,EMI,6,June,2024,20340000,15754500
Denise Cruz,raymond34@thompson-perez.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,6,2023-10-16,EMI,10,October,2023,24690000,21909375
Lisa Hicks,ocharles@harrington.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-07-19,EMI,7,July,2023,33900000,29314500
Amber Green,jcollins@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-05-28,Full Cash,5,May,2024,0,-4585500
Timothy Heath,jeffrey47@yahoo.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,5,2022-02-19,EMI,2,February,2022,29500000,25517500
Diane Luna,jennifer89@conway.net,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-05-05,EMI,5,May,2023,20340000,15754500
Andrea Wagner,katelynlowery@turner.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-01-31,Full Cheque,1,January,2024,40680000,36094500
Peter Jordan,thomasholmes@ellis-cook.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-21,Full Cash,9,September,2023,8230000,5449375
Melissa Wyatt,ygordon@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-12,EMI,9,September,2023,12345000,9564375
Phillip Alexander,charlesbaker@johnson-white.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-08-16,Full Cheque,8,August,2024,0,-4585500
Eric Rodriguez,sarahsilva@yahoo.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,5,2024-01-24,EMI,1,January,2024,97500000,84337500
Jessica Anderson,ihicks@fernandez.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-04-17,EMI,4,April,2024,33900000,29314500
Lauren Newton,matthew87@white-smith.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2024-01-04,Full Cheque,1,January,2024,20575000,17794375
Kent Taylor,austin36@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-27,Full Cheque,9,September,2023,12345000,9564375
Katherine Gonzalez PhD,ihicks@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-05-31,EMI,5,May,2024,0,-4585500
Paige Lester,jensengeorge@lucas-brown.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-03-11,EMI,3,March,2023,0,-4585500
Catherine Jones,williamlarson@stevenson-hill.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-01-21,EMI,1,January,2023,13560000,8974500
Michael Harris,nunezjoseph@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-06-06,Full Cash,6,June,2023,33900000,29314500
Gary Velez,hickscurtis@wood.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-22,Full Cash,9,September,2023,12345000,9564375
Katherine Gonzalez PhD,ihicks@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-05-30,EMI,5,May,2024,33900000,29314500
David Morales,brandonmorales@watson-foster.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-10-01,Full Cash,10,October,2023,33900000,29314500
Lawrence Nguyen,westvictor@norman.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-10-27,EMI,10,October,2023,13560000,8974500
Travis Collins,sharon74@chapman.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2024-03-30,EMI,3,March,2024,20575000,17794375
Yvette Perez,garyball@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-23,Full Cash,9,September,2023,0,-2780625
John Robbins,justinstafford@bond.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-26,EMI,12,December,2024,17670000,13690250
Lawrence Nguyen,westvictor@norman.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-12-24,EMI,12,December,2022,6780000,2194500
Julie Wells,brittanykelly@gmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2022-05-11,Full Cash,5,May,2022,11800000,7817500
Karen Cole,jacqueline67@gonzalez.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-05-04,EMI,5,May,2023,33900000,29314500
Lance Mcfarland,johnstewart@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-02-21,Full Cash,2,February,2024,20340000,15754500
Debbie Hernandez DDS,phillipscourtney@hotmail.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,0,2024-01-28,Full Cash,1,January,2024,0,-7425000
Luis Gardner,alee@price-thompson.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2022-05-05,EMI,5,May,2022,17700000,13717500
Kelly Hunt MD,ortizjody@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-27,Full Cash,9,September,2023,4115000,1334375
Adam Jones,ykelly@barr.biz,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2021-07-16,EMI,7,July,2021,5900000,1917500
Luis Gardner,alee@price-thompson.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2021-03-20,EMI,3,March,2021,35400000,31417500
Robert Allen,xpeck@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-08-16,EMI,8,August,2023,6780000,2194500
Jeff Evans,lindseysara@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-06-14,EMI,6,June,2024,6780000,2194500
Ruth Welch,pfreeman@mills.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-10-11,Full Cheque,10,October,2023,40680000,36094500
Carla Lester,codyvaldez@hotmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2021-05-12,EMI,5,May,2021,35400000,31417500
Samantha Mitchell,antoniokennedy@murphy.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-04-08,EMI,4,April,2023,6780000,2194500
Keith Price,jonesjacob@cruz.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-09-30,Full Cash,9,September,2023,33900000,29314500
Sean Rios,elang@gmail.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-07-10,EMI,7,July,2021,0,-3982500
Gregg Taylor,eescobar@curry.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-11-19,EMI,11,November,2022,0,-4585500
Corey Walter,vwhite@moss.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-09-02,EMI,9,September,2021,0,-3982500
Alyssa Roberts,annamanning@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-10-28,EMI,10,October,2023,12345000,9564375
Amber Green,jcollins@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-04-07,Full Cash,4,April,2023,33900000,29314500
Randy Dickerson,eric48@jenkins-frank.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-12,EMI,9,September,2023,8230000,5449375
Maria Smith,gomezhelen@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-05-03,Full Cash,5,May,2023,33900000,29314500
Jade Young,johnolson@young.info,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,0,2024-04-06,EMI,4,April,2024,0,-13162500
Ryan Doyle,ldoyle@foster.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-16,Full Cash,9,September,2023,0,-2780625
Christine Larsen,scottdennis@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2023-02-03,Full Cheque,2,February,2023,33900000,29314500
Raymond Wallace,amber93@mcclure.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-18,EMI,9,September,2023,8230000,5449375
Joyce Green,lwest@padilla-frazier.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-03-24,EMI,3,March,2021,17700000,13717500
Eric Edwards,christophercarter@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-03-26,EMI,3,March,2023,0,-4585500
Brandon Horton,mayjames@johnson.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-11-26,EMI,11,November,2022,0,-4585500
Wendy Valentine,gilbertkaren@rodriguez-glass.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-03-28,Full Cash,3,March,2024,6780000,2194500
Randy Taylor,ann62@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-03-28,EMI,3,March,2024,6780000,2194500
Jennifer Payne,doylekimberly@anderson-green.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-14,EMI,9,September,2023,12345000,9564375
Angel Lawrence,hkirk@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-01-17,EMI,1,January,2024,40680000,36094500
Jason Smith,tlucas@yahoo.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,3,2024-01-22,EMI,1,January,2024,58500000,45337500
Kylie Dillon,priceearl@berry.org,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-01-19,EMI,1,January,2024,0,-4585500
Nathan Cook,zacharyfaulkner@reyes.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-12-01,EMI,12,December,2022,6780000,2194500
Sandra Perry,jtucker@hotmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,5,2023-09-21,EMI,9,September,2023,20575000,17794375
Deborah Osborn,lclark@floyd.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,3,2024-01-31,EMI,1,January,2024,58500000,45337500
Lori Gilbert,morganherrera@morrow.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2024-04-08,EMI,4,April,2024,8230000,5449375
Craig Booker,amandawelch@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-02-07,EMI,2,February,2023,0,-4585500
Teresa Davis,pearsonlisa@torres.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-10-28,EMI,10,October,2022,6780000,2194500
Rhonda Daniels,xmeyer@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2024-04-16,EMI,4,April,2024,33900000,29314500
Roberta Juarez,bsanchez@kelly.info,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2022-12-19,EMI,12,December,2022,13560000,8974500
Jessica Stevens,campbelldavid@henry-marquez.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-06-09,Full Cash,6,June,2024,13560000,8974500
Jessica Stevens,campbelldavid@henry-marquez.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2023-10-25,Full Cash,10,October,2023,40680000,36094500
Stephanie Perry,juliebrown@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-01-30,Full Cheque,1,January,2024,0,-4585500
Angel Lawrence,hkirk@yahoo.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-12-10,EMI,12,December,2022,0,-4585500
Julia Burton,parksaustin@gmail.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-28,Full Cash,9,September,2023,4115000,1334375
Angelica Mccall,steve10@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,6,2024-11-11,EMI,11,November,2024,40680000,36094500
Tara Gilbert PhD,jillrivera@gmail.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,5,2024-01-24,EMI,1,January,2024,97500000,84337500
Jennifer Haley,kristiroy@hotmail.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-26,EMI,12,December,2024,17670000,13690250
Curtis Brown,clifford37@hotmail.com,Kathmandu,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-27,EMI,12,December,2024,17670000,13690250
Heather Pacheco,jlambert@mejia.biz,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-11-21,EMI,11,November,2022,0,-4585500
Eric Burnett,andrewortiz@prince-burns.net,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-11-18,EMI,11,November,2023,6780000,2194500
Megan Adams,johnpham@yahoo.com,Kathmandu,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-10-03,EMI,10,October,2023,4115000,1334375
Phillip Sanchez,cody19@sullivan.com,Kathmandu,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,5,2024-01-26,Full Cash,1,January,2024,97500000,84337500
Sara Meyer,gentrychad@gmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,5,2022-11-26,EMI,11,November,2022,33900000,29314500
Colin Hood,kenneth34@hester.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2022-12-03,EMI,12,December,2022,13560000,8974500
Caitlin Williams,mcdonaldmolly@good.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-03-29,EMI,3,March,2024,13560000,8974500
Barbara Collins,morrisfaith@gregory.com,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,6,2022-06-27,EMI,6,June,2022,35400000,31417500
Elizabeth Erickson,rossmaria@hotmail.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2022-10-21,EMI,10,October,2022,13560000,8974500
Laurie Meyer,phowell@smith.com,Kathmandu,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-02-08,EMI,2,February,2024,0,-4585500
Adrian Butler,heathermiller@estrada.org,Kathmandu,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,5,2021-08-13,EMI,8,August,2021,29500000,25517500
